i;t;h;r;phi;v;xi;m;x;y
         0;0.001;        0;  6378100;    0.00;465.098;89.999;80000;6378100;0
     10000;10.001;      206;  6378306;    0.04;466.932;84.830;77000;6378304;4651
     20000;20.001;      861;  6378961;    0.08;473.479;79.028;74000;6378955;9301
     30000;30.001;     2031;  6380131;    0.13;486.571;72.661;71000;6380116;13950
     40000;40.001;     3787;  6381887;    0.17;508.296;65.882;68000;6381861;18597
     50000;50.001;     6214;  6384314;    0.21;540.835;58.919;65000;6384272;23241
     60000;60.001;     9404;  6387504;    0.25;586.273;52.041;62000;6387444;27881
     70000;70.001;    13463;  6391563;    0.29;646.442;45.497;59000;6391481;32517
     80000;80.001;    18508;  6396608;    0.33;722.851;39.479;56000;6396500;37148
     90000;90.001;    24667;  6402767;    0.37;816.687;34.096;53000;6402631;41773
    100000;100.001;    32083;  6410183;    0.41;928.887;29.380;50000;6410016;46392
    110000;110.001;    40909;  6419009;    0.46;1060.312;25.305;47000;6418807;51004
    120000;120.001;    51312;  6429412;    0.50;1212.003;21.810;44000;6429173;55608
    130000;130.001;    63478;  6441578;    0.54;1385.464;18.819;41000;6441298;60204
    140000;140.001;    77614;  6455714;    0.58;1582.902;16.252;38000;6455390;64791
    150000;150.001;    93956;  6472056;    0.61;1807.425;14.039;35000;6471686;69368
    153334;153.334;    99940;  6478040;    0.63;1888.969;13.370;30000;6477654;70891
    153334;153.334;    99940;  6478040;    0.63;1888.969;72.370;30000;6477654;70891
    160000;160.001;   103688;  6481788;    0.74;2007.075;74.044;28667;6481253;83365
    170000;170.001;   109042;  6487142;    0.92;2199.840;76.367;26667;6486313;103764
    180000;180.001;   114049;  6492149;    1.12;2413.120;78.468;24667;6490920;126344
    190000;190.001;   118682;  6496782;    1.33;2649.443;80.357;22667;6495021;151300
    200000;200.001;   122919;  6501019;    1.58;2912.138;82.041;20667;6498559;178857
    210000;210.001;   126743;  6504843;    1.84;3205.666;83.529;18667;6501476;209278
    220000;220.001;   130143;  6508243;    2.14;3536.122;84.830;16667;6503710;242878
    230000;230.001;   133117;  6511217;    2.47;3912.081;85.950;14667;6505192;280046
    240000;240.001;   135675;  6513775;    2.83;4346.045;86.893;12667;6505847;321276
    250000;250.001;   137840;  6515940;    3.23;4857.154;87.661;10667;6505585;367216
    260000;260.001;   139660;  6517760;    3.68;5476.746;88.251;8667;6504294;418760
    270000;270.001;   141218;  6519318;    4.20;6261.330;88.657;6667;6501828;477226
    280000;280.001;   142659;  6520759;    4.79;7329.346;88.859;4667;6497965;544751
    285834;285.834;   143549;  6521649;    5.19;8191.250;88.867;3500;6494925;589794
    285834;285.834;   143549;  6521649;    5.19;8191.250;88.867;2000;6494925;589794
